qualify,practice,driver,DriverNum,Lap,Stint,track
74.752,75.243,P. DI RESTA,15,18,4,canada
99.422,99.823,P. DI RESTA,nan,nan,nan,europa
91.929,93.423,P. DI RESTA,15,12,5,great_britain
92.56,92.813,P. DI RESTA,15,13,4,germany
82.256,82.835,P. DI RESTA,15,11,4,hungary
127.758,111.751,P. DI RESTA,15,3,1,belgium
nan,77.403,K. KOBAYASHI,nan,nan,nan,monaco
75.285,76.236,K. KOBAYASHI,16,15,3,canada
99.525,99.848,K. KOBAYASHI,16.0,15.0,4.0,europa
92.128,93.014,K. KOBAYASHI,16,14,5,great_britain
93.786,93.671,K. KOBAYASHI,16,3,1,germany
82.435,83.03,K. KOBAYASHI,16,14,4,hungary
124.757,112.78,K. KOBAYASHI,16,15,3,belgium
75.482,76.821,S. PEREZ,17.0,17.0,4.0,monaco
nan,nan,S. PEREZ,nan,nan,nan,canada
99.494,99.778,S. PEREZ,17.0,4.0,1.0,europa
92.624,93.264,S. PEREZ,17,11,4,great_britain
93.176,93.531,S. PEREZ,17,12,3,germany
82.157,83.375,S. PEREZ,17,12,4,hungary
111.374,111.655,S. PEREZ,17,21,4,belgium
nan,nan,P. DE LA ROSA,nan,nan,nan,monaco
75.587,76.706,P. DE LA ROSA,17,20,4,canada
nan,nan,P. DE LA ROSA,nan,nan,nan,europa
nan,nan,P. DE LA ROSA,nan,nan,nan,great_britain
nan,nan,P. DE LA ROSA,nan,nan,nan,germany
nan,nan,P. DE LA ROSA,nan,nan,nan,hungary
nan,nan,P. DE LA ROSA,nan,nan,nan,belgium
76.3,76.736,S. BUEMI,18.0,15.0,4.0,monaco
75.334,76.138,S. BUEMI,18,17,4,canada
99.679,99.888,S. BUEMI,18.0,2.0,1.0,europa
95.749,94.799,S. BUEMI,18,3,1,great_britain
93.546,93.948,S. BUEMI,18,9,3,germany
84.07,84.878,S. BUEMI,18,7,2,hungary
124.692,113.009,S. BUEMI,18,15,4,belgium
77.82,76.617,J. ALGUERSUARI,19.0,8.0,2.0,monaco
