lap;VET;WEB;HAM;BUT;ALO;MAS;SCH;ROS;HEI;PET;BAR;MAL;SUT;RES;KOB;PER;BUE;ALG;RIC;TRU;RIC;LIU;GLO;AMB
34;3162,368;;3191,37;3199,799;3180,873;3203,057;3189,492;;3243,982;;3295,072;3246,952;;3260,447;;;3237,559;3233,497;3285,653;3325,922;4468,855;;3309,882;
35;3253,581;;3297,151;3287,799;3287,248;3291,041;3277,079;;3332,76;;3385,526;3336,706;;3349,679;;;3326,662;3322,196;3381,058;3418,324;4561,155;;3401,322;
36;3359,94;;3384,656;3375,557;3376,583;3378,811;3364,808;;3422,02;;3474,807;3426,435;;3438,925;;;3415,812;3410,74;3491,501;3508,652;4653,168;;3492,738;
37;3447,797;;3472,394;3463,159;3464,048;3466,53;3455,849;;3510,951;;3564,242;3519,526;;3528,374;;;3505,048;3499,574;3581,802;3598,826;4745,234;;3583,754;
38;3534,955;;3560,3;3550,697;3551,495;3554,196;3562,574;;3600,553;;3653,231;3628,401;;3617,407;;;3594,301;3588,401;3672,385;3692,214;4837,381;;3677,9;
39;3621,959;;3647,406;3637,971;3639,095;3642,011;3650,642;;3689,822;;3742,394;3718,308;;3706,215;;;3684,144;3677,018;3762,575;3783,057;4929,502;;3789,143;
40;3709,017;;3734,347;3724,964;3726,501;3729,618;3738,332;;3782,558;;3831,442;3807,884;;3796,651;;;3778,449;3765,585;3852,966;3873,753;;;3880,338;
41;3796,065;;3821,25;3811,903;3813,744;3820,949;3825,931;;3890,138;;3920,459;3897,405;;3885,725;;;3888,483;3857,948;3943,292;3964,375;;;3973,055;
42;3883,358;;3908,25;3898,966;3900,98;3927,383;3913,747;;3978,032;;4009,449;3987,812;;3974,379;;;3977,35;3966,163;4033,485;4056,349;;;4065,784;
43;3970,64;;3995,006;3986,428;3988,63;4015,003;4001,456;;4066,657;;4098,593;4078,195;;4063,157;;;4066,269;4055,126;4123,794;4147,897;;;4159,159;
44;4057,438;;4081,897;4073,365;4076,47;4102,843;4089,255;;4156,201;;4187,503;4167,535;;4151,639;;;4155,78;4143,684;4213,953;4238,38;;;4252,465;
45;4144,986;;4168,985;4160,546;4163,697;4190,434;4176,894;;4244,874;;4276,26;4257,32;;4239,756;;;4244,365;4233,449;4303,94;4330,114;;;4344,759;
46;4232,132;;4256,153;4247,661;4251,049;4277,946;4264,296;;4333,496;;4366,219;4346,426;;4328,841;;;4333,163;4322,077;4393,781;4420,574;;;4437,595;
47;4319,605;;4343,443;4334,641;4338,493;4365,273;4351,959;;4422,698;;4454,962;4435,517;;4417,11;;;4423,541;4410,888;4484,01;4514,753;;;4530,059;
48;4406,797;;4430,098;4421,675;4425,725;4452,466;4439,613;;4510,955;;4543,795;4524,741;;4505,211;;;4513,021;4499,376;4574,044;4605,75;;;4621,504;
49;4493,354;;4516,713;4508,631;4513,715;4539,884;4527,21;;4598,428;;4632,172;4614,277;;4593,307;;;4603,033;4587,733;4664,049;4696,815;;;4712,851;
50;4580,773;;4603,58;4595,486;4600,906;4627,307;4614,797;;4685,871;;4720,971;4704,272;;4681,532;;;4693,216;4676,524;4753,688;4786,64;;;4806,062;
51;4668,106;;4690,549;4682,257;4688,435;4714,709;4702,474;;4772,766;;4809,867;4793,206;;4770,767;;;4781,418;4765,613;4847,072;4878,239;;;4896,845;
52;4755,762;;4776,736;4768,464;4775,678;4802,241;4790,418;;4859,687;;4898,443;4882,769;;4858,821;;;4870,095;4854,891;;;;;;
53;4846,172;;4863,589;4855,762;4863,081;4889,165;4878,849;;;;;;;;;;;;;;;;;
